example_id                                              | status | run_time        |
./spec/mailers/user_mailer_spec.rb[1:1:2:5:1]           | passed | 2.75 seconds    |
./spec/models/connection_spec.rb[1:1:1:1]               | passed | 0.9479 seconds  |
./spec/models/connection_spec.rb[1:1:2:1]               | passed | 0.8367 seconds  |
./spec/models/connection_spec.rb[1:1:2:2]               | passed | 0.96947 seconds |
./spec/models/connection_spec.rb[1:1:2:3]               | passed | 1.06 seconds    |
./spec/models/connection_spec.rb[1:2:1:1]               | passed | 0.68731 seconds |
./spec/models/connection_spec.rb[1:2:2:1]               | passed | 0.72243 seconds |
./spec/models/connection_spec.rb[1:2:2:2:1]             | passed | 0.6794 seconds  |
./spec/models/connection_spec.rb[1:2:2:3:1]             | passed | 0.60878 seconds |
./spec/models/connection_spec.rb[1:2:2:4:1]             | passed | 0.59476 seconds |
./spec/models/connection_spec.rb[1:3:1]                 | passed | 0.88948 seconds |
./spec/models/connection_spec.rb[1:4:1]                 | passed | 0.72025 seconds |
./spec/models/connection_spec.rb[1:4:2]                 | passed | 2.33 seconds    |
./spec/models/connection_spec.rb[1:5:1]                 | passed | 0.89741 seconds |
./spec/models/organization_spec.rb[1:1:1:1]             | passed | 0.3245 seconds  |
./spec/models/organization_spec.rb[1:1:2:1]             | passed | 0.30404 seconds |
./spec/models/organization_spec.rb[1:2:1:1]             | passed | 0.17875 seconds |
./spec/models/organization_spec.rb[1:2:2:1]             | passed | 0.26969 seconds |
./spec/models/organization_spec.rb[1:2:2:2]             | passed | 0.21259 seconds |
./spec/models/organization_spec.rb[1:2:3:1]             | passed | 0.17124 seconds |
./spec/models/park_spec.rb[1:1:1:1]                     | passed | 0.21442 seconds |
./spec/models/park_spec.rb[1:1:2:1]                     | passed | 0.21939 seconds |
./spec/models/park_spec.rb[1:2:1]                       | passed | 0.21951 seconds |
./spec/models/park_spec.rb[1:2:2]                       | passed | 0.22844 seconds |
./spec/models/park_spec.rb[1:3:1]                       | passed | 0.24509 seconds |
./spec/models/park_spec.rb[1:4:1]                       | passed | 0.22266 seconds |
./spec/models/park_spec.rb[1:4:2]                       | passed | 0.23268 seconds |
./spec/models/park_spec.rb[1:4:3]                       | passed | 0.25428 seconds |
./spec/models/park_spec.rb[1:4:4]                       | passed | 0.22842 seconds |
./spec/models/park_spec.rb[1:4:5]                       | passed | 0.50587 seconds |
./spec/models/park_spec.rb[1:4:6]                       | passed | 0.22619 seconds |
./spec/models/park_spec.rb[1:5:1:1]                     | passed | 0.22251 seconds |
./spec/models/park_spec.rb[1:5:1:2]                     | passed | 0.93873 seconds |
./spec/models/park_spec.rb[1:5:1:3]                     | passed | 0.85355 seconds |
./spec/models/park_spec.rb[1:5:2:1]                     | passed | 0.21886 seconds |
./spec/models/park_spec.rb[1:5:3:1]                     | passed | 0.72315 seconds |
./spec/models/park_spec.rb[1:6:1:1]                     | passed | 0.87843 seconds |
./spec/models/park_spec.rb[1:6:1:2]                     | passed | 0.85124 seconds |
./spec/models/park_spec.rb[1:6:2:1]                     | passed | 0.23518 seconds |
./spec/models/park_spec.rb[1:6:3:1]                     | passed | 0.71394 seconds |
./spec/models/park_spec.rb[1:7:1]                       | passed | 0.27101 seconds |
./spec/models/park_spec.rb[1:8:1:1]                     | passed | 0.24218 seconds |
./spec/models/park_spec.rb[1:8:2:1]                     | passed | 0.22869 seconds |
./spec/models/park_spec.rb[1:8:3:1]                     | passed | 0.22884 seconds |
./spec/models/park_spec.rb[1:8:4:1]                     | passed | 0.4173 seconds  |
./spec/models/park_spec.rb[1:9:1:1]                     | passed | 0.2245 seconds  |
./spec/models/park_spec.rb[1:9:2:1]                     | passed | 0.23625 seconds |
./spec/models/park_spec.rb[1:10:1:1]                    | passed | 0.24153 seconds |
./spec/models/park_spec.rb[1:10:2:1]                    | passed | 0.25342 seconds |
./spec/models/park_user_spec.rb[1:1:1:1]                | passed | 0.40589 seconds |
./spec/models/park_user_spec.rb[1:1:2:1]                | passed | 0.40801 seconds |
./spec/models/park_user_spec.rb[1:2:1]                  | passed | 0.4292 seconds  |
./spec/models/park_user_spec.rb[1:3]                    | passed | 0.38321 seconds |
./spec/models/park_user_spec.rb[1:4:1]                  | passed | 0.18287 seconds |
./spec/models/park_user_spec.rb[1:4:2]                  | passed | 0.47494 seconds |
./spec/models/payment_spec.rb[1:1:1:1]                  | passed | 2.71 seconds    |
./spec/models/payment_spec.rb[1:1:2:1]                  | passed | 2.36 seconds    |
./spec/models/payment_spec.rb[1:2:1]                    | passed | 1.31 seconds    |
./spec/models/payment_spec.rb[1:2:2]                    | passed | 0.98812 seconds |
./spec/models/payment_spec.rb[1:2:3]                    | passed | 1.6 seconds     |
./spec/models/payment_spec.rb[1:2:4]                    | passed | 1.15 seconds    |
./spec/models/payment_spec.rb[1:2:5]                    | passed | 0.96268 seconds |
./spec/models/payment_spec.rb[1:3:1]                    | passed | 0.66087 seconds |
./spec/models/payment_spec.rb[1:3:2]                    | passed | 0.67592 seconds |
./spec/models/payment_spec.rb[1:3:3]                    | passed | 0.67747 seconds |
./spec/models/payment_spec.rb[1:4:1:1]                  | passed | 2.93 seconds    |
./spec/models/payment_spec.rb[1:4:2:1]                  | passed | 2.55 seconds    |
./spec/models/payment_spec.rb[1:4:3:1]                  | passed | 2.25 seconds    |
./spec/models/payment_spec.rb[1:4:4:1]                  | passed | 2.53 seconds    |
./spec/models/payment_spec.rb[1:4:5:1]                  | passed | 1.92 seconds    |
./spec/models/payment_spec.rb[1:4:6:1]                  | passed | 2.27 seconds    |
./spec/models/payment_spec.rb[1:4:7:1:1]                | passed | 0.96866 seconds |
./spec/models/payment_spec.rb[1:4:7:2:1]                | passed | 1.38 seconds    |
./spec/models/payment_spec.rb[1:4:7:3:1]                | passed | 1.31 seconds    |
./spec/models/payment_spec.rb[1:5:1:1]                  | passed | 0.7313 seconds  |
./spec/models/payment_spec.rb[1:5:2:1]                  | passed | 0.92477 seconds |
./spec/models/payment_spec.rb[1:5:3:1]                  | passed | 1.03 seconds    |
./spec/models/payment_spec.rb[1:6:1:1]                  | passed | 0.72134 seconds |
./spec/models/payment_spec.rb[1:6:2:1]                  | passed | 0.68562 seconds |
./spec/models/payment_spec.rb[1:7:1]                    | passed | 0.98366 seconds |
./spec/models/payment_spec.rb[1:7:2]                    | passed | 1.05 seconds    |
./spec/models/payment_spec.rb[1:7:3]                    | passed | 1.01 seconds    |
./spec/models/payment_spec.rb[1:7:4]                    | passed | 0.94043 seconds |
./spec/models/payment_spec.rb[1:8:1]                    | passed | 0.67399 seconds |
./spec/models/payment_spec.rb[1:8:2]                    | passed | 0.73686 seconds |
./spec/models/payment_spec.rb[1:8:3]                    | passed | 0.69342 seconds |
./spec/models/payment_spec.rb[1:8:4]                    | passed | 0.78076 seconds |
./spec/models/payment_spec.rb[1:9:1]                    | passed | 0.79553 seconds |
./spec/models/payment_spec.rb[1:9:2]                    | passed | 0.66893 seconds |
./spec/models/payment_spec.rb[1:9:3]                    | passed | 0.68412 seconds |
./spec/models/payment_spec.rb[1:10:1]                   | passed | 1.52 seconds    |
./spec/models/payment_spec.rb[1:10:2]                   | passed | 2.04 seconds    |
./spec/models/payment_spec.rb[1:10:3]                   | passed | 0.80662 seconds |
./spec/models/payment_spec.rb[1:11:1]                   | passed | 0.70961 seconds |
./spec/models/payment_spec.rb[1:11:2]                   | passed | 0.75518 seconds |
./spec/models/payment_spec.rb[1:11:3]                   | passed | 1.68 seconds    |
./spec/models/payment_spec.rb[1:11:4]                   | passed | 0.80867 seconds |
./spec/models/payment_spec.rb[1:11:5]                   | passed | 0.72434 seconds |
./spec/models/payment_spec.rb[1:12:1:1]                 | passed | 0.6724 seconds  |
./spec/models/payment_spec.rb[1:12:2:1]                 | passed | 0.90644 seconds |
./spec/models/payment_spec.rb[1:12:3:1]                 | passed | 1.23 seconds    |
./spec/models/payment_spec.rb[1:12:4:1]                 | passed | 0.67497 seconds |
./spec/models/payment_spec.rb[1:13:1:1]                 | passed | 0.74927 seconds |
./spec/models/payment_spec.rb[1:13:2:1]                 | passed | 0.70322 seconds |
./spec/models/payment_spec.rb[1:13:3:1]                 | passed | 0.67912 seconds |
./spec/models/payment_spec.rb[1:13:4:1]                 | passed | 0.87328 seconds |
./spec/models/payment_spec.rb[1:13:5:1]                 | passed | 0.94188 seconds |
./spec/models/payment_spec.rb[1:13:5:2]                 | passed | 0.67486 seconds |
./spec/models/payment_spec.rb[1:14:1:1:1]               | passed | 0.86058 seconds |
./spec/models/payment_spec.rb[1:14:1:2:1]               | passed | 1.56 seconds    |
./spec/models/payment_spec.rb[1:14:2:1]                 | passed | 1.27 seconds    |
./spec/models/payment_spec.rb[1:14:3:1]                 | passed | 1.09 seconds    |
./spec/models/payment_spec.rb[1:15:1]                   | passed | 1.84 seconds    |
./spec/models/payment_spec.rb[1:15:2]                   | passed | 1.88 seconds    |
./spec/models/payment_spec.rb[1:16:1]                   | passed | 0.96229 seconds |
./spec/models/payment_spec.rb[1:16:2]                   | passed | 0.86656 seconds |
./spec/models/payment_spec.rb[1:17:1:1]                 | passed | 1.01 seconds    |
./spec/models/payment_spec.rb[1:17:2:1]                 | passed | 1.14 seconds    |
./spec/models/payment_spec.rb[1:17:3:1]                 | passed | 3.66 seconds    |
./spec/models/payment_spec.rb[1:17:4:1]                 | passed | 0.41942 seconds |
./spec/models/payment_spec.rb[1:17:5:1]                 | passed | 1.41 seconds    |
./spec/models/payment_spec.rb[1:17:6:1:1]               | passed | 0.35066 seconds |
./spec/models/payment_spec.rb[1:17:6:2:1]               | passed | 0.62923 seconds |
./spec/models/payment_spec.rb[1:17:6:3:1]               | passed | 0.32302 seconds |
./spec/models/payment_spec.rb[1:17:6:4:1]               | passed | 0.48442 seconds |
./spec/models/payment_spec.rb[1:17:6:5:1]               | passed | 0.35456 seconds |
./spec/models/payment_spec.rb[1:17:6:6:1]               | passed | 0.41066 seconds |
./spec/models/payment_spec.rb[1:18:1:1]                 | passed | 0.66755 seconds |
./spec/models/payment_spec.rb[1:18:2:1]                 | passed | 0.67379 seconds |
./spec/models/payment_spec.rb[1:19:1]                   | passed | 0.758 seconds   |
./spec/models/property_spec.rb[1:1:1:1]                 | passed | 0.94371 seconds |
./spec/models/property_spec.rb[1:1:2:1]                 | passed | 0.87453 seconds |
./spec/models/property_spec.rb[1:2:1]                   | passed | 0.72217 seconds |
./spec/models/property_spec.rb[1:2:2]                   | passed | 0.60159 seconds |
./spec/models/property_spec.rb[1:2:3]                   | passed | 0.62233 seconds |
./spec/models/property_spec.rb[1:2:4]                   | passed | 0.65702 seconds |
./spec/models/property_spec.rb[1:3:1]                   | passed | 3.4 seconds     |
./spec/models/property_spec.rb[1:3:2]                   | passed | 3.39 seconds    |
./spec/models/property_spec.rb[1:3:3]                   | passed | 3.41 seconds    |
./spec/models/property_spec.rb[1:3:4]                   | passed | 3.61 seconds    |
./spec/models/property_spec.rb[1:3:5]                   | passed | 3.68 seconds    |
./spec/models/property_spec.rb[1:3:6]                   | passed | 3.53 seconds    |
./spec/models/property_spec.rb[1:3:7]                   | passed | 4.55 seconds    |
./spec/models/property_spec.rb[1:3:8]                   | passed | 4.02 seconds    |
./spec/models/property_spec.rb[1:3:9]                   | passed | 3.77 seconds    |
./spec/models/property_spec.rb[1:3:10]                  | passed | 3.67 seconds    |
./spec/models/property_spec.rb[1:3:11]                  | passed | 3.5 seconds     |
./spec/models/property_spec.rb[1:4:1]                   | passed | 1.94 seconds    |
./spec/models/property_spec.rb[1:4:2]                   | passed | 2.63 seconds    |
./spec/models/property_spec.rb[1:4:3]                   | passed | 2.02 seconds    |
./spec/models/property_spec.rb[1:4:4]                   | passed | 1.96 seconds    |
./spec/models/property_spec.rb[1:4:5]                   | passed | 2.47 seconds    |
./spec/models/property_spec.rb[1:5:1]                   | passed | 0.49201 seconds |
./spec/models/property_spec.rb[1:5:2]                   | passed | 0.63378 seconds |
./spec/models/property_spec.rb[1:5:3]                   | passed | 0.51584 seconds |
./spec/models/property_spec.rb[1:5:4]                   | passed | 0.7294 seconds  |
./spec/models/property_spec.rb[1:5:5]                   | passed | 0.77928 seconds |
./spec/models/property_spec.rb[1:6:1]                   | passed | 1.13 seconds    |
./spec/models/property_spec.rb[1:7:1]                   | passed | 0.57082 seconds |
./spec/models/property_spec.rb[1:7:2]                   | passed | 0.6947 seconds  |
./spec/models/property_spec.rb[1:7:3]                   | passed | 0.79389 seconds |
./spec/models/property_spec.rb[1:8:1]                   | passed | 1.27 seconds    |
./spec/models/property_spec.rb[1:9:1:1]                 | passed | 1 second        |
./spec/models/property_spec.rb[1:9:2:1]                 | passed | 0.73265 seconds |
./spec/models/property_spec.rb[1:9:3:1]                 | passed | 0.63322 seconds |
./spec/models/property_spec.rb[1:9:4:1]                 | passed | 0.58496 seconds |
./spec/models/property_spec.rb[1:10:1:1]                | passed | 0.74628 seconds |
./spec/models/property_spec.rb[1:10:2:1]                | passed | 0.65212 seconds |
./spec/models/property_spec.rb[1:11:1:1]                | passed | 0.91963 seconds |
./spec/models/property_spec.rb[1:11:2:1]                | passed | 0.70467 seconds |
./spec/models/property_spec.rb[1:12:1:1]                | passed | 0.78718 seconds |
./spec/models/property_spec.rb[1:12:2:1]                | passed | 1.89 seconds    |
./spec/models/property_spec.rb[1:12:3:1]                | passed | 0.60495 seconds |
./spec/models/property_spec.rb[1:13:1]                  | passed | 0.81498 seconds |
./spec/models/property_spec.rb[1:13:2]                  | passed | 0.70537 seconds |
./spec/models/property_spec.rb[1:14:1]                  | passed | 0.57338 seconds |
./spec/models/property_spec.rb[1:14:2]                  | passed | 1.08 seconds    |
./spec/models/property_spec.rb[1:14:3]                  | passed | 0.81982 seconds |
